YrSinceTrt_BR,Kingdom,Phylum,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
SOD-UT,Bacteria,Proteobacteria,0.49086694194494734,0.07566724541054881,0.011279806960543074,45,100
SOD-UT,Bacteria,Verrucomicrobiota,0.1757088352150805,0.08307365833278935,0.012383889811447255,45,100
SOD-UT,Bacteria,Acidobacteriota,0.08527819357767698,0.04347888825910123,0.006481449982231188,45,100
SOD-UT,Bacteria,Actinobacteriota,0.08078712553045356,0.04820485992418525,0.007185956242422239,45,100
SOD-UT,Bacteria,Planctomycetota,0.05341717210427779,0.01520516898487777,0.002266652763970544,45,100
SOD-UT,Bacteria,Bacteroidota,0.03440334233421388,0.015594157315496631,0.002324639720618407,45,100
SOD-UT,Bacteria,Myxococcota,0.025125768848064504,0.01609632213514649,0.0023994980321281408,45,100
SOD-UT,Bacteria,Firmicutes,0.0203579283199304,0.020171049671047613,0.0030069225494658157,45,100
SOD-UT,Bacteria,Chloroflexi,0.019006200865459295,0.011912909430453538,0.0017758716864194942,45,100
SOD-UT,Other,Other,0.015048491259895744,NA,NA,NA,NA
1-2 PT,Bacteria,Proteobacteria,0.47343974085824214,0.07780910724715538,0.01697933922462031,21,100
1-2 PT,Bacteria,Verrucomicrobiota,0.1580113329541887,0.07580195919955807,0.016541343612282336,21,100
1-2 PT,Bacteria,Actinobacteriota,0.08890750400992532,0.057929335649409,0.012641217408186694,21,100
1-2 PT,Bacteria,Acidobacteriota,0.0783771904971243,0.038621877952140275,0.008427984723668042,21,100
1-2 PT,Bacteria,Bacteroidota,0.05925841675139469,0.04290744587211534,0.00936317231362805,21,100
1-2 PT,Bacteria,Planctomycetota,0.04443799023000024,0.014749312161727588,0.0032185637823642587,21,100
1-2 PT,Bacteria,Firmicutes,0.03308237182511205,0.029986651910071178,0.006543623915056824,21,95.23809523809523
1-2 PT,Bacteria,Chloroflexi,0.024488272083574635,0.024424981264412702,0.005329967880573782,21,100
1-2 PT,Bacteria,Myxococcota,0.02285818375621134,0.012978288271920053,0.0028320946855729177,21,100
1-2 PT,Other,Other,0.01713899703422655,NA,NA,NA,NA
3-4 PT,Bacteria,Proteobacteria,0.39010459595706776,0.11779826159405181,0.058899130797025905,4,100
3-4 PT,Bacteria,Actinobacteriota,0.13625896804584758,0.09612204961679639,0.048061024808398196,4,100
3-4 PT,Bacteria,Verrucomicrobiota,0.12742999999576865,0.05925284767672107,0.029626423838360536,4,100
3-4 PT,Bacteria,Acidobacteriota,0.10271961048701954,0.05198879306732637,0.025994396533663186,4,100
3-4 PT,Bacteria,Bacteroidota,0.09976017340910126,0.05747838651151508,0.02873919325575754,4,100
3-4 PT,Bacteria,Planctomycetota,0.037757512766377926,0.010879589424971288,0.005439794712485644,4,100
3-4 PT,Bacteria,Chloroflexi,0.03295366258332514,0.027477731072482307,0.013738865536241153,4,100
3-4 PT,Bacteria,Firmicutes,0.026507893571082478,0.01886764387953021,0.009433821939765104,4,100
3-4 PT,Bacteria,Myxococcota,0.021332664893114636,0.008199043279934407,0.004099521639967203,4,100
3-4 PT,Other,Other,0.014323969139282524,NA,NA,NA,NA
3-4 PT,Bacteria,Gemmatimonadota,0.010850949152012523,0.009545551392513904,0.004772775696256952,4,100
5-8 PT,Bacteria,Proteobacteria,0.4505430617134024,0.08008034166878221,0.030267524137240126,7,100
5-8 PT,Bacteria,Verrucomicrobiota,0.1569717979347484,0.1004485181802157,0.037965971238543006,7,100
5-8 PT,Bacteria,Acidobacteriota,0.08487895032897004,0.04235594997661679,0.016009044311717156,7,100
5-8 PT,Bacteria,Actinobacteriota,0.08114046435303554,0.041969488608603,0.0158629756444174,7,100
5-8 PT,Bacteria,Bacteroidota,0.07953696597091646,0.04047982411812035,0.015299935390311565,7,100
5-8 PT,Bacteria,Planctomycetota,0.049447511863510325,0.020627033570445645,0.007796285873197127,7,100
5-8 PT,Bacteria,Myxococcota,0.03536888791584704,0.016084923511884702,0.006079529638563229,7,100
5-8 PT,Bacteria,Chloroflexi,0.021586882880697097,0.020174393749109013,0.007625204101662636,7,100
5-8 PT,Bacteria,Firmicutes,0.017653064473857984,0.01572706687541906,0.005944272543548639,7,100
5-8 PT,Bacteria,Gemmatimonadota,0.01246493482239601,0.009082069760357329,0.0034326997108064966,7,100
5-8 PT,Other,Other,0.010407477742618644,NA,NA,NA,NA
10-12 PT,Bacteria,Proteobacteria,0.43813245938509715,0.03420040412306564,0.012926537721077104,7,100
10-12 PT,Bacteria,Verrucomicrobiota,0.18249353723208472,0.06592594837233824,0.024917666334184345,7,100
10-12 PT,Bacteria,Actinobacteriota,0.10969071680280738,0.05530274971348815,0.02090247465141974,7,100
10-12 PT,Bacteria,Acidobacteriota,0.07052483299250051,0.017058198743580163,0.0064473930986039376,7,100
10-12 PT,Bacteria,Planctomycetota,0.04898740971840491,0.01836879782004675,0.006942752987867011,7,100
10-12 PT,Bacteria,Bacteroidota,0.041589187462208785,0.043404894676241305,0.016405508142326556,7,100
10-12 PT,Bacteria,Myxococcota,0.03636146712159917,0.018173080958401963,0.00686877896739642,7,100
10-12 PT,Bacteria,Firmicutes,0.03403831064810035,0.024414944037088885,0.009227981456528075,7,100
10-12 PT,Bacteria,Chloroflexi,0.0207945277326449,0.010576594124494914,0.003997576824497209,7,100
10-12 PT,Bacteria,Gemmatimonadota,0.011716741096557256,0.007943921653217808,0.0030025201612850576,7,100
10-12 PT,Other,Other,0.005670809807994864,NA,NA,NA,NA
