Treatuntreat_EP,Kingdom,Phylum,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
SOD-UT,Bacteria,Proteobacteria,0.49086694194494734,0.07566724541054881,0.011279806960543074,45,100
SOD-UT,Bacteria,Verrucomicrobiota,0.1757088352150805,0.08307365833278935,0.012383889811447255,45,100
SOD-UT,Bacteria,Acidobacteriota,0.08527819357767698,0.04347888825910123,0.006481449982231188,45,100
SOD-UT,Bacteria,Actinobacteriota,0.08078712553045356,0.04820485992418525,0.007185956242422239,45,100
SOD-UT,Bacteria,Planctomycetota,0.05341717210427779,0.01520516898487777,0.002266652763970544,45,100
SOD-UT,Bacteria,Bacteroidota,0.03440334233421388,0.015594157315496631,0.002324639720618407,45,100
SOD-UT,Bacteria,Myxococcota,0.025125768848064504,0.01609632213514649,0.0023994980321281408,45,100
SOD-UT,Bacteria,Firmicutes,0.0203579283199304,0.020171049671047613,0.0030069225494658157,45,100
SOD-UT,Bacteria,Chloroflexi,0.019006200865459295,0.011912909430453538,0.0017758716864194942,45,100
SOD-UT,Other,Other,0.015048491259895744,NA,NA,NA,NA
SOD-T,Bacteria,Proteobacteria,0.4544456817830988,0.07852495918373827,0.012574056741711831,39,100
SOD-T,Bacteria,Verrucomicrobiota,0.15908244456894535,0.0760829868211118,0.012183028215641406,39,100
SOD-T,Bacteria,Actinobacteriota,0.09610030062776212,0.05941608551854919,0.009514188080410454,39,100
SOD-T,Bacteria,Acidobacteriota,0.0806314339907175,0.037469672756098076,0.005999949522114756,39,100
SOD-T,Bacteria,Bacteroidota,0.0638807825499377,0.045497285227009875,0.007285396286544556,39,100
SOD-T,Bacteria,Planctomycetota,0.0454685204351006,0.016010612556366377,0.0025637498299394944,39,100
SOD-T,Bacteria,Firmicutes,0.029810282268343365,0.02592535377440464,0.004151379036639162,39,97.43589743589743
SOD-T,Bacteria,Myxococcota,0.027370897531154362,0.015123518396917902,0.0024217010799357347,39,100
SOD-T,Bacteria,Chloroflexi,0.024172775343122104,0.021610850314925618,0.003460505563087125,39,100
SOD-T,Other,Other,0.019036880901818078,NA,NA,NA,NA
