"","Treatuntreat_EP","Kingdom","Phylum","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"1","Untreated","Fungi","Basidiomycota",1389066,45,29.5131960825304,65.5848801834008
"2","Untreated","Fungi","Ascomycota",323029,45,6.88618318296239,15.302629295472
"3","Untreated","Fungi","Mortierellomycota",299386,45,6.29817576715202,13.9959461492267
"4","Untreated","Fungi","Mucoromycota",70790,45,1.57624698896533,3.50277108658962
"5","Untreated","Fungi","Chytridiomycota",17782,43,0.397265889824549,0.882813088498998
"6","Untreated","Fungi","Rozellomycota",8583,41,0.165933025687972,0.368740057084383
"7","Untreated","Fungi","Glomeromycota",2538,17,0.0463786657469941,0.103063701659987
"8","Untreated","Fungi","Fungi_phy_Incertae_sedis",1932,38,0.039490508422535,0.0877566853834112
"9","Untreated","Fungi","Kickxellomycota",1879,31,0.0385738112319663,0.0857195805154807
"10","Untreated","Fungi","Calcarisporiellomycota",1305,14,0.025613184174169,0.056918187053709
"11","Untreated","Fungi","Monoblepharomycota",314,10,0.00789500239386173,0.0175444497641372
"12","Untreated","Fungi","Olpidiomycota",159,5,0.00308230096275186,0.00684955769500412
"13","Untreated","Fungi","Entomophthoromycota",51,2,0.00100760488093354,0.00223912195763009
"14","Untreated","Fungi","Basidiobolomycota",54,4,0.000957985064165032,0.00212885569814452
"15","Treated","Fungi","Basidiomycota",769580,39,21.5743631345423,55.3188798321597
"16","Treated","Fungi","Ascomycota",386539,39,10.2715667399914,26.3373506153626
"17","Treated","Fungi","Mortierellomycota",161640,39,3.93625196488149,10.0929537561064
"18","Treated","Fungi","Mucoromycota",80964,39,2.16711780683614,5.55671232522087
"19","Treated","Fungi","Chytridiomycota",24547,39,0.668486349742319,1.71406756344184
"20","Treated","Fungi","Glomeromycota",6441,13,0.1176392441255,0.301639087501282
"21","Treated","Fungi","Fungi_phy_Incertae_sedis",3591,33,0.106350262284199,0.272692980215894
"22","Treated","Fungi","Rozellomycota",2323,34,0.0549722253611821,0.140954424003031
"23","Treated","Fungi","Kickxellomycota",2173,18,0.0508431431161756,0.130367033631219
"24","Treated","Fungi","Monoblepharomycota",963,12,0.0349449120202609,0.0896023385134894
"25","Treated","Fungi","Olpidiomycota",352,9,0.0109346689035701,0.0280376125732567
"26","Treated","Fungi","Calcarisporiellomycota",130,9,0.00310636135328989,0.00796502911099971
"27","Treated","Fungi","Basidiobolomycota",67,5,0.00204100982144909,0.00523335851653613
"28","Treated","Fungi","Entomophthoromycota",43,4,0.00116640866960165,0.00299079146051705
"29","Treated","Fungi","Aphelidiomycota",5,1,0.000215768351098261,0.000553252182303233
