"YrSinceTrt_BR","Kingdom","Phylum","Mean_Relative_Abundance","Standard_Deviation","Standard_Error","Sample_Size","Prevalence_Percent"
"SOD-UT","Fungi","Basidiomycota",0.655848801834008,0.151169341920929,0.022534994976607,45,100
"SOD-UT","Fungi","Ascomycota",0.15302629295472,0.0831588632103709,0.0123965914046664,45,100
"SOD-UT","Fungi","Mortierellomycota",0.139959461492267,0.106038019652521,0.0158072146761664,45,100
"SOD-UT","Fungi","Mucoromycota",0.0350277108658962,0.0252531812402679,0.0037645219934241,45,100
"SOD-UT","Other","Other",0.0161377328531088,NA,NA,NA,NA
"1-2 PT","Fungi","Basidiomycota",0.56780327465,0.152204518061883,0.0332137488158502,21,100
"1-2 PT","Fungi","Ascomycota",0.22655413854306,0.11260896538649,0.0245732908482978,21,100
"1-2 PT","Fungi","Mortierellomycota",0.125945710745425,0.105409510493241,0.0230022409906437,21,100
"1-2 PT","Fungi","Mucoromycota",0.0516034175498611,0.0569657629520089,0.012430948607071,21,100
"1-2 PT","Fungi","Chytridiomycota",0.0176261602576168,0.0222592018129009,0.00485735605794842,21,100
"1-2 PT","Other","Other",0.0104672982540379,NA,NA,NA,NA
"3-4 PT","Fungi","Basidiomycota",0.514230824992649,0.17770482785985,0.088852413929925,4,100
"3-4 PT","Fungi","Ascomycota",0.317792753374466,0.199815214839592,0.0999076074197962,4,100
"3-4 PT","Fungi","Mucoromycota",0.0961566296457116,0.0593012980123778,0.0296506490061889,4,100
"3-4 PT","Fungi","Mortierellomycota",0.057638679580508,0.0387708410866471,0.0193854205433236,4,100
"3-4 PT","Fungi","Chytridiomycota",0.010446887242555,0.00831978517916298,0.00415989258958149,4,100
"3-4 PT","Other","Other",0.00373422516410986,NA,NA,NA,NA
"5-8 PT","Fungi","Basidiomycota",0.49462793164857,0.19460550945063,0.0735539688241997,7,100
"5-8 PT","Fungi","Ascomycota",0.301477683763067,0.132643479741882,0.0501345229187505,7,100
"5-8 PT","Fungi","Mortierellomycota",0.0970431975981139,0.080781316115472,0.0305324675745762,7,100
"5-8 PT","Fungi","Mucoromycota",0.0695472045563822,0.0719181745606077,0.0271825149475857,7,100
"5-8 PT","Fungi","Chytridiomycota",0.0235339835376784,0.0218133197778966,0.00824465991443444,7,100
"5-8 PT","Other","Other",0.0137699988961883,NA,NA,NA,NA
"10-12 PT","Fungi","Basidiomycota",0.590167935054531,0.167684605627475,0.0633788235977487,7,100
"10-12 PT","Fungi","Ascomycota",0.304630718678262,0.118352371713902,0.0447329918042372,7,100
"10-12 PT","Fungi","Mortierellomycota",0.0545049911026775,0.0438874367550565,0.0165878919048507,7,100
"10-12 PT","Fungi","Mucoromycota",0.0302841554016476,0.0138934623956827,0.00525123519265773,7,100
"10-12 PT","Fungi","Chytridiomycota",0.0131159357997711,0.0132331125297545,0.00500164640358047,7,100
"10-12 PT","Other","Other",0.00729626396311043,NA,NA,NA,NA
