Fire_Mod,Kingdom,Phylum,Class,Order,Family,Genus,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
SOD-UT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,0.36274835947728346,0.3384602547213407,0.054905503517175776,38,81.57894736842105
SOD-UT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Pythium,0.14623309917702473,0.2120879052157231,0.03440520138874107,38,65.78947368421053
SOD-UT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Phytopythium,0.11986479254019614,0.239709460241038,0.03888600929878921,38,39.473684210526315
SOD-UT,Stramenopila,Oomycota,Oomycetes,Saprolegniales,Saprolegniaceae,Achlya,0.116713833917398,0.215557187444478,0.03496799328219339,38,36.84210526315789
SOD-UT,Stramenopila,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,0.06422760798922088,0.19304925426264735,0.03131672437472057,38,42.10526315789473
SOD-UT,Stramenopila,Oomycota,Oomycetes,Saprolegniales,Saprolegniaceae,Saprolegnia,0.05286034586311578,0.18735504059067545,0.030393000940631073,38,21.052631578947366
SOD-UT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Halophytophthora,0.04278452227397451,0.13397407460909086,0.02173346477776553,38,15.789473684210526
SOD-UT,Stramenopila,Oomycota,Oomycetes,Lagenidiales,Lagenidiaceae,Lagenidium,0.041503814447605154,0.16565209628360247,0.026872318472415904,38,7.894736842105263
SOD-UT,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Elongisporangium,0.025227522970566144,0.12759559505040102,0.020698738759101346,38,7.894736842105263
SOD-UT,Stramenopila,Oomycota,Oomycetes,Saprolegniales,Leptolegniaceae,Aphanomyces,0.024400209220384623,0.06398239923662614,0.01037931573152131,38,26.315789473684205
SOD-UT,Other,Other,Other,Other,Other,Other,0.0034358921232305294,NA,NA,NA,NA
SOD-T,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,0.4105267908840229,0.36841467521164567,0.06140244586860761,36,66.66666666666666
SOD-T,Stramenopila,Oomycota,Oomycetes,Saprolegniales,Saprolegniaceae,Saprolegnia,0.16334659209407104,0.28789178054296694,0.04798196342382782,36,55.55555555555556
SOD-T,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Pythium,0.12007574170031278,0.18740892235067824,0.031234820391779706,36,61.111111111111114
SOD-T,Stramenopila,Oomycota,Oomycetes,Saprolegniales,Saprolegniaceae,Achlya,0.06531078479133696,0.19232999312354251,0.03205499885392375,36,33.33333333333333
SOD-T,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Phytopythium,0.06397292044506468,0.13400319651588688,0.022333866085981147,36,38.88888888888889
SOD-T,Stramenopila,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,0.06075904016954599,0.1443518493880045,0.024058641564667416,36,38.88888888888889
SOD-T,Stramenopila,Oomycota,Oomycetes,Saprolegniales,Saprolegniaceae,Thraustotheca,0.0335493432247576,0.14022653272139401,0.023371088786899002,36,25
SOD-T,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Elongisporangium,0.029499833486265357,0.10258389344384375,0.017097315573973957,36,11.11111111111111
SOD-T,Stramenopila,Oomycota,Oomycetes,Lagenidiales,Lagenidiaceae,Lagenidium,0.023336076277600037,0.10036433750075714,0.016727389583459523,36,11.11111111111111
SOD-T,Stramenopila,Oomycota,Oomycetes,Saprolegniales,Leptolegniaceae,Aphanomyces,0.01657059640813142,0.04699190055090423,0.007831983425150705,36,38.88888888888889
SOD-T,Other,Other,Other,Other,Other,Other,0.013052280518891252,NA,NA,NA,NA
Wildfire,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Pythium,0.5979808446516873,0.41022308064235913,0.1137754116642173,13,100
Wildfire,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Globisporangium,0.2967155174095505,0.41143620561690836,0.11411187199493139,13,53.84615384615385
Wildfire,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Phytopythium,0.04286126939163877,0.13021467753325802,0.03611505358955158,13,15.384615384615385
Wildfire,Stramenopila,Oomycota,Oomycetes,Pythiales,Pythiaceae,Halophytophthora,0.041812347039791725,0.11406159287952554,0.03163499397601751,13,15.384615384615385
Wildfire,Other,Other,Other,Other,Other,Other,0.010570697287574109,NA,NA,NA,NA
Wildfire,Stramenopila,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Hyaloperonospora,0.010059324219757547,0.03626940927085262,0.010059324219757547,13,7.6923076923076925
