Fire_Mod,Species,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
SOD-UT,Globisporangium_aquisylvae,0.1337239840792603,0.26058326105089913,0.04227218693056534,38,42.10526315789473
SOD-UT,Globisporangium_terrestre,0.11987951176806785,0.2617369651824149,0.04245934245434426,38,26.31578947368421
SOD-UT,Achlya_hypogyna,0.11671383391739801,0.215557187444478,0.03496799328219339,38,36.84210526315789
SOD-UT,Other,0.07899473765303913,0.1642325421447235,0.026642036382634897,38,73.68421052631578
SOD-UT,Phytopythium_helicoides,0.06676981578130806,0.21744022256952025,0.035273461916216886,38,15.789473684210526
SOD-UT,Phytophthora_ramorum,0.049612420628622034,0.1892493209615482,0.03070029379441416,38,10.526315789473683
SOD-UT,Pythium_contiguanum,0.0493332648365436,0.13153493522019244,0.02133778411976241,38,18.421052631578945
SOD-UT,Saprolegnia_parasitica,0.04908782147039525,0.17423079965146357,0.02826396792420959,38,18.421052631578945
SOD-UT,Halophytophthora_kandeliae,0.04256450168992574,0.13402991719130108,0.021742523640811286,38,13.157894736842104
SOD-UT,Lagenidium_sp.sinuatum,0.04150381444760516,0.16565209628360242,0.026872318472415894,38,7.894736842105263
SOD-UT,Globisporangium_nodosum,0.03265276327023255,0.0777375740253595,0.01261069973365167,38,50
SOD-UT,Pythium_monospermum,0.029353679411899977,0.09677567920308741,0.01569908821121962,38,18.421052631578945
SOD-UT,Globisporangium_lucens,0.02784145182894398,0.13769848396123988,0.022337643755743847,38,7.894736842105263
SOD-UT,Elongisporangium_anandrum,0.025212571171428635,0.12750495145632518,0.020684034426453963,38,7.894736842105263
SOD-UT,Phytopythium_iriomotense,0.023963205464762678,0.09497523884312108,0.0154070182173647,38,7.894736842105263
SOD-UT,Aphanomyces_stellatus,0.021602048672522706,0.06338562063763194,0.010282505459092045,38,18.421052631578945
SOD-UT,Pythium_junctum,0.018590946150145872,0.07937166632055018,0.012875784508036333,38,15.789473684210526
SOD-UT,Globisporangium_acanthophoron,0.018490874122647064,0.0638587488710565,0.010359256993495264,38,15.789473684210526
SOD-UT,Pythium_brachiatum,0.015299513389020207,0.07361637907609637,0.011942153632225287,38,10.526315789473683
SOD-UT,Pythium_jasmonium,0.014355596580352965,0.040275330215810846,0.006533521304119577,38,15.789473684210526
SOD-UT,Phytopythium_aichiense,0.012657592686438558,0.06950679483815607,0.011275491036890028,38,7.894736842105263
SOD-UT,Phytophthora_nemorosa,0.011796050979439636,0.03832222187825991,0.006216685293979724,38,13.157894736842104
SOD-T,Globisporangium_aquisylvae,0.21093549687050792,0.34319023446748886,0.057198372411248144,36,38.88888888888889
SOD-T,Saprolegnia_parasitica,0.13972727971862156,0.2806251302992534,0.04677085504987557,36,47.22222222222222
SOD-T,Other,0.11708255518719599,0.13751971337427182,0.022919952229045304,36,83.33333333333334
SOD-T,Achlya_hypogyna,0.06531078479133698,0.19232999312354251,0.03205499885392375,36,33.33333333333333
SOD-T,Globisporangium_terrestre,0.050570235485437084,0.1431531342183149,0.023858855703052486,36,16.666666666666664
SOD-T,Phytophthora_nemorosa,0.037549476114460204,0.10092065898941956,0.016820109831569927,36,19.444444444444446
SOD-T,Globisporangium_attrantheridium,0.0356413851580434,0.13472717001964404,0.02245452833660734,36,11.11111111111111
SOD-T,Phytopythium_helicoides,0.03455233366814482,0.09788197133405922,0.01631366188900987,36,27.77777777777778
SOD-T,Thraustotheca_clavata,0.03354934322475759,0.14022653272139393,0.02337108878689899,36,25
SOD-T,Globisporangium_rostratifingens,0.03126601853863999,0.10854523695302556,0.01809087282550426,36,13.88888888888889
SOD-T,Elongisporangium_anandrum,0.029499833486265364,0.1025838934438437,0.01709731557397395,36,11.11111111111111
SOD-T,Pythium_dissotocum,0.026499765818308357,0.11238341187046656,0.01873056864507776,36,5.555555555555555
SOD-T,Saprolegnia_ferax,0.023619312375449467,0.10247224602688068,0.01707870767114678,36,19.444444444444446
SOD-T,Lagenidium_sp.sinuatum,0.023291457711923685,0.10037463036096371,0.016729105060160617,36,8.333333333333332
SOD-T,Pythium_brachiatum,0.021084340808276245,0.0764417846982504,0.0127402974497084,36,16.666666666666664
SOD-T,Globisporangium_selbyi,0.020541539693702145,0.12324923816221284,0.02054153969370214,36,2.7777777777777777
SOD-T,Pythium_insidiosum,0.02024855541446104,0.04819055223888039,0.008031758706480065,36,25
SOD-T,Phytopythium_aichiense,0.019363701529742462,0.07901704010644382,0.013169506684407304,36,8.333333333333332
SOD-T,Pythium_monospermum,0.016741563653096474,0.08992561568991464,0.014987602614985773,36,11.11111111111111
SOD-T,Globisporangium_heterothallicum,0.01644578790974524,0.0986747274584715,0.01644578790974525,36,2.7777777777777777
SOD-T,Phytophthora_europaea,0.01602356523616366,0.09614139141698198,0.016023565236163665,36,2.7777777777777777
SOD-T,Globisporangium_iwayami,0.010455667605720342,0.05121099497744977,0.008535165829574962,36,5.555555555555555
Wildfire,Pythium_brachiatum,0.24147348869687746,0.3806385642952644,0.10557014315273633,13,46.15384615384615
Wildfire,Pythium_jasmonium,0.12971361571774787,0.28942517604823137,0.08027210097323771,13,23.076923076923077
Wildfire,Globisporangium_rostratifingens,0.11964563858309246,0.2679321851511079,0.07431101783918699,13,23.076923076923077
Wildfire,Pythium_monospermum,0.08491776799744571,0.27644443297080845,0.07667189060713983,13,15.384615384615385
Wildfire,Globisporangium_aquisylvae,0.07664989436190775,0.1922696286816007,0.05332600037891792,13,23.076923076923077
Wildfire,Pythium_insidiosum,0.07389884709659848,0.2632480699060983,0.07301187801641278,13,15.384615384615385
Wildfire,Globisporangium_violae,0.06551375387624438,0.23621319884892675,0.06551375387624436,13,7.6923076923076925
Wildfire,Halophytophthora_kandeliae,0.04180046266877948,0.11404972244339456,0.03163170170939194,13,15.384615384615385
Wildfire,Pythium_contiguanum,0.038190088000817184,0.0887439989237363,0.024613156808404025,13,23.076923076923077
Wildfire,Phytopythium_citrinum,0.03603777056138144,0.12993602961246747,0.036037770561381445,13,7.6923076923076925
Wildfire,Other,0.03513820290051482,0.050379278075883396,0.013972697717188952,13,69.23076923076923
Wildfire,Globisporangium_rhizoterrae,0.03449132186822428,0.12436022955441504,0.03449132186822428,13,7.6923076923076925
Wildfire,Pythium_dissimile,0.01246982345061118,0.04146303316623305,0.011499776316701328,13,15.384615384615385
Wildfire,Hyaloperonospora_arabidopsidis,0.010059324219757545,0.03626940927085262,0.010059324219757547,13,7.6923076923076925
